Acq_daten;Year
2000-11-01;29
2000-11-02;12
2000-11-03;5
2000-11-08;3
2000-11-09;3
2000-11-10;4
2000-11-11;3
2000-11-16;1
2001-04-06;7
2001-04-07;1
2001-04-11;3
2001-04-12;1
2001-04-13;3
2001-04-14;27
2001-04-15;35
2001-04-16;27
2001-04-19;11
2001-04-20;24
2001-04-21;7
2001-04-22;48
2001-04-23;13
2001-04-24;3
2001-04-25;26
2001-04-26;58
2001-04-27;63
2001-04-28;9
2001-04-29;1
2001-04-30;1
2001-05-02;1
2001-05-03;7
2001-05-04;8
2001-05-07;6
2001-05-10;1
2001-05-11;11
2001-05-12;20
2001-05-13;25
2001-05-14;3
2001-05-27;1
2001-06-03;1
2001-07-09;1
2001-08-17;2
2001-08-30;1
2001-09-14;7
2001-09-15;2
2001-09-17;13
2001-09-20;2
2001-09-21;1
2001-09-22;37
2001-09-25;8
2001-09-28;17
2001-09-29;37
2001-09-30;95
2001-10-01;18
2001-10-03;1
2001-10-08;2
2001-10-09;38
2001-10-10;32
2001-10-11;8
2001-10-12;9
2001-10-13;79
2001-10-14;33
2001-10-17;21
2001-10-18;27
2001-10-19;20
2001-10-20;28
2001-10-21;5
2001-10-22;4
2001-10-23;4
2001-10-24;5
2001-10-25;25
2001-10-26;2
2001-10-27;11
2001-10-28;18
2001-10-29;22
2001-10-30;13
2001-11-10;9
2001-11-11;6
2001-11-12;3
2001-11-13;1
2001-11-15;4
2001-11-17;5
2001-11-18;2
2001-11-19;2
2001-11-20;3
2001-11-23;1
2002-03-10;1
2002-03-12;2
2002-03-13;1
2002-03-14;15
2002-03-15;21
2002-03-16;5
2002-03-17;11
2002-03-18;24
2002-03-19;13
2002-03-29;12
2002-03-30;30
2002-04-01;2
2002-04-02;1
2002-04-03;5
2002-04-04;10
2002-04-05;16
2002-04-06;1
2002-04-14;9
2002-04-19;3
2002-04-26;6
2002-04-27;10
2002-04-28;28
2002-05-01;2
2002-05-02;18
2002-05-03;1
2002-05-05;1
2002-05-06;6
2002-05-07;12
2002-05-08;10
2002-05-09;1
2002-05-10;11
2002-05-11;13
2002-05-12;5
2002-05-14;1
2002-09-05;1
2002-09-22;1
2002-09-29;3
2002-09-30;5
2002-10-10;14
2002-10-12;1
2002-10-14;10
2002-10-15;12
2002-10-17;1
2002-10-18;21
2002-10-19;19
2002-10-20;5
2002-10-21;2
2002-11-06;12
2002-11-07;3
2002-11-08;2
2003-03-14;1
2003-03-18;3
2003-03-19;1
2003-03-20;6
2003-03-21;9
2003-03-23;12
2003-03-24;6
2003-03-25;9
2003-03-26;4
2003-03-27;12
2003-03-28;4
2003-03-29;24
2003-03-30;59
2003-03-31;128
2003-04-01;68
2003-04-02;79
2003-04-03;38
2003-04-04;107
2003-04-05;39
2003-04-06;121
2003-04-07;82
2003-04-08;153
2003-04-09;164
2003-04-10;100
2003-04-13;1
2003-04-15;2
2003-04-16;3
2003-04-17;1
2003-04-19;1
2003-04-20;64
2003-04-21;35
2003-04-22;9
2003-04-24;21
2003-04-25;29
2003-04-26;77
2003-04-27;83
2003-04-28;52
2003-04-29;23
2003-04-30;6
2003-05-01;28
2003-05-02;31
2003-05-03;109
2003-05-04;45
2003-05-05;33
2003-05-06;4
2003-05-07;4
2003-05-08;5
2003-05-09;2
2003-05-10;10
2003-05-11;7
2003-05-12;10
2003-05-15;4
