"Latitude","Longitude","Brightness","Scan","Track","Acq_date","Acq_time","Satellite","Instrument","Confidence","Version","Bright_t31","Frp","Daynight","Type"
48.6746,133.848,309.2,3,1.6,20001101,"0137","Terra","MODIS",68,"6.03",278.5,60,"D",0
48.675,133.841,311.5,3,1.6,20001101,"0137","Terra","MODIS",71,"6.03",278.8,67.8,"D",0
48.5844,133.874,316.8,2.9,1.6,20001101,"0137","Terra","MODIS",77,"6.03",278,88.4,"D",0
48.5843,133.868,316.8,2.9,1.6,20001101,"0137","Terra","MODIS",77,"6.03",278.1,88.3,"D",0
48.3868,132.765,327.8,3.4,1.7,20001101,"0137","Terra","MODIS",85,"6.03",279.5,172.5,"D",0
48.3767,132.757,316.3,3.4,1.7,20001101,"0137","Terra","MODIS",77,"6.03",278.8,103.7,"D",0
48.1704,132.463,302.6,3.5,1.8,20001101,"0137","Terra","MODIS",53,"6.03",279,50.4,"D",0
48.6615,133.451,349.9,2.8,1.6,20001101,"0315","Terra","MODIS",96,"6.03",282.6,294.1,"D",0
47.9887,132.675,303.8,2.7,1.6,20001101,"0315","Terra","MODIS",43,"6.03",280.5,36,"D",0
47.9918,132.682,305.3,2.7,1.6,20001101,"0315","Terra","MODIS",53,"6.03",280.5,39.9,"D",0
48.1302,132.262,304.1,2.6,1.5,20001101,"0315","Terra","MODIS",53,"6.03",280.8,30.9,"D",0
48.1432,132.269,368.8,2.6,1.5,20001101,"0315","Terra","MODIS",100,"6.03",285.8,458.2,"D",0
48.1514,132.237,302.7,2.6,1.5,20001101,"0315","Terra","MODIS",44,"6.03",280.9,27.2,"D",0
48.1715,132.479,322.2,2.6,1.6,20001101,"0315","Terra","MODIS",81,"6.03",280.5,94.4,"D",0
48.3856,132.777,317,2.7,1.6,20001101,"0315","Terra","MODIS",77,"6.03",280.1,75,"D",0
48.6385,133.479,307.9,2.9,1.6,20001101,"0315","Terra","MODIS",66,"6.03",279.5,47.9,"D",0
48.648,133.442,325,2.8,1.6,20001101,"0315","Terra","MODIS",83,"6.03",280.2,116,"D",0
48.6521,133.487,395.3,2.9,1.6,20001101,"0315","Terra","MODIS",100,"6.03",287,1051.8,"D",0
48.6393,133.486,307.8,2.9,1.6,20001101,"0315","Terra","MODIS",66,"6.03",279.4,46.7,"D",0
