Acq_daten;Year
2000-11;60
2001-04;368
2001-05;83
2001-06;1
2001-07;1
2001-08;3
2001-09;219
2001-10;425
2001-11;36
2002-03;135
2002-04;91
2002-05;81
2002-09;10
2002-10;85
2002-11;17
2003-03;278
2003-04;1358
2003-05;417
2003-06;19
2003-07;1
2003-09;2
2003-10;49
2003-11;15
2004-04;636
2004-05;106
2004-06;3
2004-08;2
2004-09;2
2004-10;1709
2004-11;21
2004-12;8
2005-03;56
2005-04;109
2005-05;52
2005-06;5
2005-07;5
2005-08;16
2005-09;1
2005-10;1475
2005-11;9
2006-03;1
2006-04;125
2006-05;141
2006-06;3
2006-08;2
2006-09;4
2006-10;538
2006-11;158
2007-04;336
2007-05;134
2007-06;1
2007-07;2
2007-08;1
2007-09;1
2007-10;335
2007-11;352
2007-12;22
2008-02;5
2008-03;975
2008-04;427
2008-05;33
2008-06;55
2008-07;29
2008-08;2
2008-09;13
2008-10;1020
2008-11;11
2009-04;1562
2009-05;422
2009-08;2
2009-10;85
2009-11;116
2010-04;189
2010-05;111
2010-06;4
2010-10;583
2010-11;38
2011-04;486
2011-05;280
2011-07;1
2011-08;3
2011-10;188
2011-11;40
2012-03;88
2012-04;445
2012-05;94
2012-06;1
2012-07;1
2012-09;3
2012-10;70
2012-11;38
2013-04;420
2013-05;419
2013-06;3
2013-07;2
2013-09;1
2013-10;149
2013-11;9
2014-03;427
2014-04;1326
2014-05;54
2014-06;1
2014-07;1
2014-08;1
2014-09;2
2014-10;680
2014-11;18
2015-04;211
2015-05;145
2015-06;5
2015-09;2
2015-10;577
2015-11;263
2016-03;49
2016-04;260
2016-05;160
2016-06;2
2016-08;1
2016-10;1046
2016-11;128
2017-03;128
2017-04;190
2017-05;150
2017-08;2
2017-10;426
2017-11;39
2018-03;230
2018-04;1432
2018-05;259
2018-06;1
2018-08;2
2018-10;117
2018-11;34
2019-02;140
2019-03;703
2019-04;662
2019-05;117
2019-06;1
2019-07;2
2019-10;135
2019-11;55
2020-02;18
2020-03;249
2020-04;699
2020-05;124
2020-10;16
2020-11;56
2020-12;11
2021-03;140
2021-04;834
2021-05;14
2021-09;1
2021-10;553
2021-11;64
2022-04;191
2022-05;360
2022-06;7
2022-09;2
2022-10;36
2022-11;132
